the distance from the sun versus time in 1995:
sidereal year = 365.256366
1 astronomical unit, in km = 1.495978707d8
1995 vernal equinox = 79.09514 ut
aphelion distance in au = 1.01674
perihelion perihelion distance in au = 0.98330
apdate = 184.125; july 4, 3. ut
peridate = 3.375; january 4, 9. ut

average velocity = 29.784735 km s-1

   date r (au)   r (km)
 352.5  0.98396  1.47198e+08
 353.5  0.98388  1.47187e+08
 354.5  0.98381  1.47176e+08
 355.5  0.98374  1.47165e+08
 356.5  0.98368  1.47156e+08
 357.5  0.98362  1.47147e+08
 358.5  0.98356  1.47139e+08
 359.5  0.98351  1.47131e+08
 360.5  0.98347  1.47125e+08
 361.5  0.98343  1.47119e+08
 362.5  0.98340  1.47114e+08
 363.5  0.98337  1.47110e+08
 364.5  0.98334  1.47106e+08
